"gmtamesQSAR_ID","Strain","Endpoint","TrainValTest"
"gmtamesQSAR_0008","TA100","Negative","Train"
"gmtamesQSAR_0013","TA100","Negative","Train"
"gmtamesQSAR_0014","TA100","Negative","Train"
"gmtamesQSAR_0015","TA100","Negative","Train"
"gmtamesQSAR_0017","TA100","Negative","Train"
"gmtamesQSAR_0019","TA100","Positive","Train"
"gmtamesQSAR_0022","TA100","Positive","Train"
"gmtamesQSAR_0024","TA100","Negative","Train"
"gmtamesQSAR_0028","TA100","Negative","Train"
"gmtamesQSAR_0029","TA100","Positive","Train"
"gmtamesQSAR_0030","TA100","Negative","Train"
"gmtamesQSAR_0031","TA100","Negative","Train"
"gmtamesQSAR_0032","TA100","Negative","Train"
"gmtamesQSAR_0035","TA100","Negative","Train"
"gmtamesQSAR_0039","TA100","Negative","Train"
"gmtamesQSAR_0040","TA100","Positive","Train"
"gmtamesQSAR_0044","TA100","Negative","Train"
"gmtamesQSAR_0045","TA100","Negative","Train"
"gmtamesQSAR_0048","TA100","Positive","Train"
"gmtamesQSAR_0049","TA100","Negative","Train"
"gmtamesQSAR_0050","TA100","Negative","Train"
"gmtamesQSAR_0051","TA100","Negative","Train"
"gmtamesQSAR_0052","TA100","Negative","Train"
"gmtamesQSAR_0053","TA100","Negative","Train"
"gmtamesQSAR_0056","TA100","Negative","Train"
"gmtamesQSAR_0057","TA100","Negative","Train"
"gmtamesQSAR_0058","TA100","Positive","Train"
"gmtamesQSAR_0061","TA100","Negative","Train"
"gmtamesQSAR_0063","TA100","Negative","Train"
"gmtamesQSAR_0064","TA100","Negative","Train"
"gmtamesQSAR_0065","TA100","Negative","Train"
"gmtamesQSAR_0066","TA100","Negative","Train"
"gmtamesQSAR_0067","TA100","Negative","Train"
"gmtamesQSAR_0068","TA100","Positive","Train"
"gmtamesQSAR_0070","TA100","Negative","Train"
"gmtamesQSAR_0073","TA100","Positive","Train"
"gmtamesQSAR_0074","TA100","Positive","Train"
"gmtamesQSAR_0076","TA100","Negative","Train"
"gmtamesQSAR_0077","TA100","Negative","Train"
