Strain,Total,Training,Validation,Test
TA100,6380 (1:3),4593 (1:3),"1276 (1:3, 84%)","511 (1:3, 89%)"
TA100+S9,5842 (1:3),4207 (1:3),"1168 (1:3, 83%)","467 (1:3, 88%)"
TA102,1107 (1:5),797 (1:5),"221 (1:5, 72%)","89 (1:5, 88%)"
TA102+S9,966 (1:8),694 (1:8),"194 (1:8, 75%)","78 (1:8, 90%)"
TA104,410 (1:3),295 (1:3),"82 (1:3, 87%)","33 (1:3, 91%)"
TA104+S9,330 (1:3),238 (1:3),"66 (1:3, 83%)","26 (1:3, 88%)"
TA1535,3957 (1:9),2849 (1:9),"791 (1:9, 80%)","317 (1:9, 87%)"
TA1535+S9,3676 (1:9),2646 (1:9),"736 (1:9, 80%)","294 (1:9, 85%)"
TA1537,3523 (1:11),2536 (1:11),"705 (1:11, 82%)","282 (1:11, 88%)"
TA1537+S9,3404 (1:10),2451 (1:10),"681 (1:10, 79%)","272 (1:10, 87%)"
TA1538,2115 (1:9),1523 (1:9),"423 (1:9, 70%)","169 (1:9, 88%)"
TA1538+S9,1992 (1:7),1435 (1:7),"398 (1:7, 71%)","159 (1:7, 89%)"
TA97,1803 (1:10),1298 (1:10),"361 (1:10, 71%)","144 (1:10, 87%)"
TA97+S9,1724 (1:9),1241 (1:9),"345 (1:9, 70%)","138 (1:9, 86%)"
TA98,5980 (1:4),4306 (1:4),"1196 (1:4, 82%)","478 (1:4, 87%)"
TA98+S9,5530 (1:3),3982 (1:3),"1106 (1:3, 85%)","442 (1:3, 87%)"
