2022-12-16 01:36:37,894|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2022-12-16 01:36:37,894|INFO|__main__.startLogging|mode:|mtg
2022-12-16 01:36:37,894|INFO|__main__.startLogging|tasks:|TA104_S9
2022-12-16 01:36:37,894|INFO|__main__.startLogging|output:|mtg_experiment
2022-12-16 01:36:37,894|INFO|__main__.startLogging|device:|titanv
2022-12-16 01:36:37,894|INFO|__main__.startLogging|DONE
2022-12-16 01:36:37,894|INFO|mtg.runMTGExperiment|>>>> RUNNING MECHANISTIC TASK GROUPING EXPERIMENT
2022-12-16 01:36:37,894|INFO|data.generateModellingDatasets|>>>> GENERATING MODELLING DATASETS
2022-12-16 01:36:37,910|INFO|data.generateModellingDatasets|Task list parsed:|['TA104_S9']
2022-12-16 01:36:38,106|INFO|data.generateModellingDatasets|Modelling train dataset generated: (rows, columns)|238|1026
2022-12-16 01:36:38,109|INFO|data.generateModellingDatasets|Modelling val dataset generated: (rows, columns)|66|1026
2022-12-16 01:36:38,115|INFO|data.generateModellingDatasets|Modelling trainval dataset generated: (rows, columns)|304|1026
2022-12-16 01:36:38,118|INFO|data.generateModellingDatasets|Modelling test dataset generated: (rows, columns)|26|1026
2022-12-16 01:36:38,118|INFO|data.generateModellingDatasets|Modelling datasets generation timing:|0.2085461999999998
2022-12-16 01:36:38,118|INFO|data.generateModellingDatasets|DONE
2022-12-16 01:36:38,118|INFO|mtg.runMTGExperiment|Device confirmed:|cuda:0
2022-12-16 01:36:39,174|INFO|nn.loadModellingDataset|Train descriptors loaded (features, instances):|1024|238
2022-12-16 01:36:39,174|INFO|nn.loadModellingDataset|Train endpoints loaded (tasks, instances):|1|238
2022-12-16 01:36:39,176|INFO|nn.loadModellingDataset|Val descriptors loaded (features, instances):|1024|66
2022-12-16 01:36:39,176|INFO|nn.loadModellingDataset|Val endpoints loaded (tasks, instances):|1|66
2022-12-16 01:36:40,268|INFO|nn.computeOptunaObjective|Trial 0 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 200}
2022-12-16 01:36:40,268|INFO|nn.computeOptunaObjective|Trial 0 balacc:|[0.6842737094837935]
2022-12-16 01:36:40,268|INFO|nn.computeOptunaObjective|Trial 0 rocauc:|[0.6938775510204082]
2022-12-16 01:36:40,268|INFO|nn.computeOptunaObjective|Trial 0 timings:|1.0977290000000002
2022-12-16 01:36:40,268|INFO|nn.computeOptunaObjective|Trial 0 objective:|0.6842737094837935
2022-12-16 01:36:40,734|INFO|nn.computeOptunaObjective|Trial 1 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2022-12-16 01:36:40,734|INFO|nn.computeOptunaObjective|Trial 1 balacc:|[0.6446578631452581]
2022-12-16 01:36:40,734|INFO|nn.computeOptunaObjective|Trial 1 rocauc:|[0.7076830732292917]
2022-12-16 01:36:40,734|INFO|nn.computeOptunaObjective|Trial 1 timings:|0.4723290000000002
2022-12-16 01:36:40,734|INFO|nn.computeOptunaObjective|Trial 1 objective:|0.6446578631452581
2022-12-16 01:36:41,124|INFO|nn.computeOptunaObjective|Trial 2 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 100}
2022-12-16 01:36:41,124|INFO|nn.computeOptunaObjective|Trial 2 balacc:|[0.6944777911164466]
2022-12-16 01:36:41,124|INFO|nn.computeOptunaObjective|Trial 2 rocauc:|[0.7118847539015606]
2022-12-16 01:36:41,124|INFO|nn.computeOptunaObjective|Trial 2 timings:|0.37347460000000066
2022-12-16 01:36:41,124|INFO|nn.computeOptunaObjective|Trial 2 objective:|0.6944777911164466
2022-12-16 01:36:41,539|INFO|nn.computeOptunaObjective|Trial 3 params:|{'n_layers': 4, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 100}
2022-12-16 01:36:41,539|INFO|nn.computeOptunaObjective|Trial 3 balacc:|[0.5294117647058824]
2022-12-16 01:36:41,539|INFO|nn.computeOptunaObjective|Trial 3 rocauc:|[0.6578631452581033]
2022-12-16 01:36:41,539|INFO|nn.computeOptunaObjective|Trial 3 timings:|0.4132674999999999
