Metric,,,Balanced accuracy,Balanced accuracy,Balanced accuracy,Balanced accuracy,Balanced accuracy,Balanced accuracy,ROC AUC,ROC AUC,ROC AUC,ROC AUC,ROC AUC,ROC AUC,Sensitivity,Sensitivity,Sensitivity,Sensitivity,Sensitivity,Sensitivity,Specificity,Specificity,Specificity,Specificity,Specificity,Specificity
Statistic,,,Observed,2.5%,97.5%,8.5%,91.5%,Significance,Observed,2.5%,97.5%,8.5%,91.5%,Significance,Observed,2.5%,97.5%,8.5%,91.5%,Significance,Observed,2.5%,97.5%,8.5%,91.5%,Significance
Strain task,Learning architecture,Strain task grouping,,,,,,,,,,,,,,,,,,,,,,,,
TA100,ST,TA100,0.7307224876372476,0.6857807392506915,0.776139363842092,0.6984012237029587,0.7628446903025732,-,0.8348524851227893,0.7953325370882575,0.8734253205934122,0.8053695729611935,0.8632511419830693,-,0.5284552845528455,0.43089430894308944,0.6097560975609756,0.4715447154471545,0.5860569105691059,-,0.9329896907216495,0.9072164948453608,0.9561855670103093,0.9149484536082474,0.9484536082474226,-
TA100,uMT,"TA100, TA100+S9, TA102, TA102+S9, TA104, TA104+S9, TA1535, TA1535+S9, TA1537, TA1537+S9, TA1538, TA1538+S9, TA97, TA97+S9, TA98, TA98+S9",0.8060724163942671,0.760941559802196,0.8480387226552678,0.7757063531975527,0.8367238182046769,*,0.9144874696169644,0.8816297879473641,0.9435556533400387,0.8922938144329897,0.93500880060347,**,0.6585365853658537,0.5772357723577236,0.7398373983739838,0.6016260162601627,0.7154471544715447,*,0.9536082474226805,0.9329896907216495,0.9742268041237113,0.9381443298969072,0.9690721649484536,NS
TA100,gMT,"TA100, TA102, TA104, TA1535, TA1537, TA1538, TA97, TA98",0.7938772944430476,0.7521323128824072,0.8369109357975022,0.7641333500963876,0.8247108373145587,*,0.8945184812672868,0.8578241555611434,0.9261838907048865,0.8696373941832201,0.9179274578828263,*,0.6341463414634146,0.5528455284552846,0.7154471544715447,0.5772357723577236,0.6910569105691057,NS,0.9536082474226805,0.9329252577319589,0.9742268041237113,0.9381443298969072,0.9690721649484536,NS
TA100,gMT,"TA100, TA100+S9, TA102, TA102+S9, TA104, TA104+S9, TA1535, TA1535+S9",0.7638399966473892,0.71951769549912,0.8118292159081384,0.7327904722990529,0.7965593831196044,NS,0.8858645545218339,0.8499559969826503,0.9177992205179785,0.8615051127315396,0.9082017433576398,NS,0.6178861788617886,0.5284552845528455,0.7073170731707317,0.5528455284552846,0.675487804878049,NS,0.9097938144329897,0.8788659793814433,0.9355670103092784,0.8891752577319587,0.9278350515463918,NS
TA100,gMT,"TA100, TA102, TA104, TA1535",0.7599740172659459,0.7117807602045092,0.8027166624759031,0.7268315732126394,0.790807560137457,NS,0.844103595675132,0.7984701093789289,0.8816114533568016,0.8134200821389657,0.8705775919872601,NS,0.6178861788617886,0.5284552845528455,0.6993902439024389,0.5528455284552846,0.6747967479674797,NS,0.9020618556701031,0.8711340206185567,0.9304123711340206,0.8814432989690721,0.9201030927835051,NS
TA100+S9,ST,TA100+S9,0.7191871932480162,0.6732182583367736,0.7644399912848034,0.6876175404797945,0.7520472684739232,-,0.8471859089032613,0.8106958969772029,0.8832467547360213,0.8229543942938398,0.8735732879225724,-,0.5271317829457365,0.4418604651162791,0.6124031007751938,0.46511627906976744,0.5891472868217055,-,0.9112426035502958,0.8816568047337278,0.9408284023668639,0.8905325443786982,0.9319526627218935,-
TA100+S9,uMT,"TA100, TA100+S9, TA102, TA102+S9, TA104, TA104+S9, TA1535, TA1535+S9, TA1537, TA1537+S9, TA1538, TA1538+S9, TA97, TA97+S9, TA98, TA98+S9",0.820524287876703,0.7819047864776845,0.8592980253199395,0.7931558758772533,0.8482481881565066,**,0.9356795559836705,0.9149577427640935,0.9561264391541672,0.9206458419338563,0.951107059309206,**,0.7209302325581395,0.6511627906976745,0.7906976744186046,0.6666666666666666,0.7751937984496124,**,0.9201183431952663,0.8905325443786982,0.9467455621301775,0.9023668639053254,0.9408284023668639,NS
TA100+S9,gMT,"TA100+S9, TA102+S9, TA104+S9, TA1535+S9, TA1537+S9, TA1538+S9, TA97+S9, TA98+S9",0.7957891839823861,0.7501897848722535,0.8384248428971148,0.7649178363377827,0.8262350350901335,*,0.9093046190541718,0.8821828700518325,0.9360436447869364,0.8906125865785972,0.9292358722076969,*,0.6744186046511628,0.5891472868217055,0.751937984496124,0.6124031007751938,0.7286821705426356,*,0.9171597633136095,0.8875739644970414,0.9467455621301775,0.8964497041420119,0.9378698224852071,NS
TA100+S9,gMT,"TA100, TA100+S9, TA102, TA102+S9, TA104, TA104+S9, TA1535, TA1535+S9",0.7863515435071786,0.7429386840053208,0.8294037544149351,0.7559943351222421,0.8170038071648089,*,0.8964153020503647,0.8652550341727443,0.9234822943901656,0.8759392344387872,0.91554114490161,*,0.6821705426356589,0.6046511627906976,0.7596899224806202,0.627906976744186,0.7364341085271318,*,0.8905325443786982,0.8550295857988166,0.9201183431952663,0.8668639053254438,0.9142011834319527,NS
TA100+S9,gMT,"TA100+S9, TA102+S9, TA104+S9, TA1535+S9",0.7799298197330398,0.7391200518324847,0.8222188775744231,0.7504013577358837,0.8109677881748544,NS,0.8789161047658365,0.8430080615568094,0.9122858469794963,0.8543749713315902,0.9026318173478282,NS,0.627906976744186,0.5503875968992248,0.7054263565891473,0.5736434108527132,0.689922480620155,NS,0.9319526627218935,0.9053254437869822,0.9556952662721893,0.9112426035502958,0.9497041420118343,NS
TA102,ST,TA102,0.6742857142857143,0.5471428571428572,0.808154761904762,0.5804761904761905,0.7657142857142857,-,0.7676190476190476,0.6190238095238095,0.8934285714285713,0.6684904761904762,0.8571428571428571,-,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.21428571428571427,0.5714285714285714,-,0.92,0.8533333333333334,0.9733333333333334,0.88,0.96,-
TA102,uMT,"TA100, TA100+S9, TA102, TA102+S9, TA104, TA104+S9, TA1535, TA1535+S9, TA1537, TA1537+S9, TA1538, TA1538+S9, TA97, TA97+S9, TA98, TA98+S9",0.8595238095238096,0.7457142857142858,0.9666666666666667,0.783607142857143,0.930952380952381,*,0.9542857142857143,0.9009285714285714,0.9885714285714285,0.9238095238095237,0.9819047619047618,**,0.7857142857142857,0.5714285714285714,1.0,0.6428571428571429,0.9285714285714286,*,0.9333333333333333,0.8666666666666667,0.9866666666666667,0.8933333333333333,0.9733333333333334,NS
TA102,gMT,"TA100, TA102, TA104, TA1535",0.9042857142857144,0.8128571428571428,0.9666666666666667,0.8419047619047619,0.9533333333333334,**,0.9033333333333333,0.8052261904761905,0.969547619047619,0.839047619047619,0.9580952380952381,NS,0.9285714285714286,0.7857142857142857,1.0,0.8571428571428571,1.0,**,0.88,0.8,0.9466666666666667,0.8266666666666667,0.9333333333333333,NS
