2023-06-17 02:32:02,884|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2023-06-17 02:32:02,884|INFO|__main__.startLogging|mode:|mtg
2023-06-17 02:32:02,884|INFO|__main__.startLogging|tasks:|TA102_S9
2023-06-17 02:32:02,884|INFO|__main__.startLogging|testsplit:|scaffold
2023-06-17 02:32:02,884|INFO|__main__.startLogging|output:|mtg_experiment_scaffold
2023-06-17 02:32:02,884|INFO|__main__.startLogging|device:|titanv
2023-06-17 02:32:02,884|INFO|__main__.startLogging|DONE
2023-06-17 02:32:02,884|INFO|mtg.runMTGExperiment|>>>> RUNNING MECHANISTIC TASK GROUPING EXPERIMENT
2023-06-17 02:32:03,126|INFO|mtg.runMTGExperiment|Device confirmed:|cuda:0
2023-06-17 02:32:04,331|INFO|nn.loadModellingDataset|Train descriptors loaded (features, instances):|1024|671
2023-06-17 02:32:04,331|INFO|nn.loadModellingDataset|Train endpoints loaded (tasks, instances):|1|671
2023-06-17 02:32:04,347|INFO|nn.loadModellingDataset|Val descriptors loaded (features, instances):|1024|194
2023-06-17 02:32:04,347|INFO|nn.loadModellingDataset|Val endpoints loaded (tasks, instances):|1|194
2023-06-17 02:32:06,263|INFO|nn.computeOptunaObjective|Trial 0 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 200}
2023-06-17 02:32:06,263|INFO|nn.computeOptunaObjective|Trial 0 balacc:|[0.5023784355179705]
2023-06-17 02:32:06,263|INFO|nn.computeOptunaObjective|Trial 0 rocauc:|[0.6968816067653277]
2023-06-17 02:32:06,263|INFO|nn.computeOptunaObjective|Trial 0 timings:|1.9262468
2023-06-17 02:32:06,263|INFO|nn.computeOptunaObjective|Trial 0 objective:|0.5023784355179705
2023-06-17 02:32:07,029|INFO|nn.computeOptunaObjective|Trial 1 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 02:32:07,029|INFO|nn.computeOptunaObjective|Trial 1 balacc:|[0.5676532769556025]
2023-06-17 02:32:07,029|INFO|nn.computeOptunaObjective|Trial 1 rocauc:|[0.6933139534883721]
2023-06-17 02:32:07,029|INFO|nn.computeOptunaObjective|Trial 1 timings:|0.7529761000000006
2023-06-17 02:32:07,029|INFO|nn.computeOptunaObjective|Trial 1 objective:|0.5676532769556025
2023-06-17 02:32:07,732|INFO|nn.computeOptunaObjective|Trial 2 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 02:32:07,732|INFO|nn.computeOptunaObjective|Trial 2 balacc:|[0.5251057082452432]
2023-06-17 02:32:07,732|INFO|nn.computeOptunaObjective|Trial 2 rocauc:|[0.6989957716701902]
2023-06-17 02:32:07,732|INFO|nn.computeOptunaObjective|Trial 2 timings:|0.7096029000000001
2023-06-17 02:32:07,732|INFO|nn.computeOptunaObjective|Trial 2 objective:|0.5251057082452432
2023-06-17 02:32:08,419|INFO|nn.computeOptunaObjective|Trial 3 params:|{'n_layers': 4, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 100}
2023-06-17 02:32:08,419|INFO|nn.computeOptunaObjective|Trial 3 balacc:|[0.5]
2023-06-17 02:32:08,419|INFO|nn.computeOptunaObjective|Trial 3 rocauc:|[0.6149577167019027]
2023-06-17 02:32:08,419|INFO|nn.computeOptunaObjective|Trial 3 timings:|0.6863522
2023-06-17 02:32:08,419|INFO|nn.computeOptunaObjective|Trial 3 objective:|0.5
2023-06-17 02:32:09,397|INFO|nn.computeOptunaObjective|Trial 4 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 150}
2023-06-17 02:32:09,397|INFO|nn.computeOptunaObjective|Trial 4 balacc:|[0.5449260042283298]
2023-06-17 02:32:09,397|INFO|nn.computeOptunaObjective|Trial 4 rocauc:|[0.6857822410147991]
2023-06-17 02:32:09,397|INFO|nn.computeOptunaObjective|Trial 4 timings:|0.9644667000000009
2023-06-17 02:32:09,397|INFO|nn.computeOptunaObjective|Trial 4 objective:|0.5449260042283298
2023-06-17 02:32:10,784|INFO|nn.computeOptunaObjective|Trial 5 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 200}
2023-06-17 02:32:10,784|INFO|nn.computeOptunaObjective|Trial 5 balacc:|[0.49127906976744184]
2023-06-17 02:32:10,784|INFO|nn.computeOptunaObjective|Trial 5 rocauc:|[0.680232558139535]
